text,rt_count, fav_count
Respect to everyone working hard to keep a roof over their kids,19231,36646
What is your definition of true freedom? There is no true freedom without economic freedom.,18617,29762
I just had to start with shoes so that I could be economically empowered enough to have a voice.,5209,17588
You guys will see my heart. You guys will feel my heart. We will make a difference.,9979,23657
It's a beautiful time.  I love my friends. I love my family.  I love people. The human race.,23056,36919
Free from being held back by public opinion.,11625,21482
I'm happy and free and proud and confident. I'm not crazy. I'm free,31076,40176
I'm proud as an entrepreneur that I gave everything I had to my dreams.,7621,20299
I wrote Saint Pablo after admitting to my greatest shame my personal debt. But I'm not ashamed anymore.,6057,20511
No slave mindset no more. I'm free. I'm free. I'm free.,13894,25904
I'm not crazy I'm free.,50970,61452
People ask why I speak in a public forum... Well my voice is my power. Freedom of speech. Freedom of opinion. Freedom of dreams.,12294,24863
We need to see Young Thug at the Grammys.  Not just me and Jay in a suit.,44594,52625
First order of business. We the people need to see Future at the Grammys.,55550,56848
and always remember that rock and roll was stolen and don't try to hide behind Jimmy Jam and Terry Lewis 😭😭😭 all positive vibes.,5460,14214
Us real music guys wanna have fun too,6183,15803
Neil please reach out as soon as possible so we can make the Grammys culturally relevant again.,5594,16321
All artists have a problem with it and I am going to fix it for us all starting right now.,5361,14753
Has anyone at the Grammys ever heard March Madness??? Yes I have a problem with the Grammys.,40039,43671
You like your black people a certain way also. You wouldn't have Future perform and that man owned the clubs last summer.,18845,32310
You guys are supposed to be all about taste.,6617,16229
Dexter didn't feel he even had a chance of winning and he was right!!!,3501,11965
Everybody with any form of taste knows that was the best video of the year!,10599,23495
I don't want to just fix the awards for me but I want to fix it for Dexter Navy who directed A$AP Rocky’s LSD video.,16961,34818
If I'm not at the show next year then there is no show.,15074,25245
Hi Grammys this is the most important living artist talking.,46059,65028
I feel the Grammy awarding system is way off and completely out of touch.,9319,19335
I don't give opinions because they are commonly agreed upon. I say what I feel.,12589,19423
We need to fix this.,6227,13236
I know so many cool artists whose hearts have been broken by the politics including mine.,5762,16380
I think the Grammys are super important!!!,4094,12533
I would like to sit down with Neil Portnow right now,2558,9089
I really didn’t mean to use the B word tonight    …  all positive vibes,7515,24136
God bless the fools … all positive vibes!,43149,41313
Ezrin I truly feel sorry for your friends and family that they have had to suffer an idiot like you for so many years…,8616,21673
Welcome to pop culture!!!,10480,21855
I made Dark Fantasy and Watch the Throne in one year and wasn’t nominated for either and you know who has 2 albums of the year.,26510,48484
Rock and Roll was stolen… Rap was exploited…,20127,31028
it’s guys like you that run companies and don’t invest in Ye even if I’m your kid’s idol!!!,6564,17817
Bob please never speak in public again… you are everything that is wrong with the old guard …,8026,19866
Bro you said Macklemore was more important musically than me… no offense to Macklemore, he’s a nice human being!,25442,45044
I’m so sorry for them…   I will send them free Yeezys to make up for the embarrassment that you have caused your family!,20234,41911
